"","Q4.1","Q4.2","Q4.3","Q4.4","Q4.5","Q4","Q7.1","Q7.2","Q7.3","Q7.4","Q7.5","Q7.6","Q8","Q9","Q10.1","Q10.2","Q10.3","Q10.4","Q10","Q12","Q13","Q14","Q15.1","Q15.2","Q15.3","Q15.4","Q15.5","Q15.6","Q15.7","Q15","Q16","Q17","Q18","Q20","Q21","Q22","Q23","Q24.1","Q24.2","Q24.3","Q24.4","Q24.5","Q24.6","Q24","Q25.1","Q25.2","Q25.3","Q25.4","Q25.5","Q25.6","Q25.7","Q25.8","Q25","Q26","Q27.1","Q27.2","Q27.3","Q27.4","Q27.5","Q27.6","Q27","Q28","Q29","Q30","Q31.1","Q31.2","Q31.3","Q31.4","Q31.5","Q31","Q32","Q33","Q34.1","Q34.2","Q34.3","Q34.4","Q34","Q35.1","Q35.2","Q35.3","Q35.4","Q35.5","Q35.6","Q35.7","Q35","Q41.1","Q41.2","Q41.3","Q41.4","Q41.5","Q41","Q42.1","Q42.2","Q42.3","Q42.4","Q42.5","Q42","Q43.1","Q43.2","Q43.3","Q43.4","Q43.5","Q43.6","Q43","Q44","Q45","Q46","Q47","Q48","Q37","Q39","Q36","Q40","knowledge.total"
"Q13",1,1,1,1,1,1,1,1,1,1,1,1,0.745989066811326,1,1,1,1,1,1,2.43223998595451e-146,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.400466500153401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.160305388215093,1,0.49825721175891,1,1,0.180484105573113,0.0639071459689675,1,1,1,1,1,1
"Q14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.1458629602403e-28,1.02543373655002e-41,3.56408599974168e-32,1.01289491939736e-10,1.15933718031439e-15,1,2.39930095016433e-26,1.58873122616402e-44,1.20167784314217e-16,1.71670766277191e-15,2.90931242861482e-16,2.31775921852758e-16,1.03282852441e-16,1,3.24556860274161e-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q15.1",1,1,0.504887584242435,1,0.00273345381727989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1458629602403e-28,0,1.6927773592198e-87,3.85209229589091e-46,1.00292554436212e-07,2.94911698081209e-08,1,1.02282736803332e-213,1.63518754904844e-102,7.20675783331069e-09,1.00965863765134e-08,9.85943421004193e-09,7.22704128305333e-09,9.25466861712998e-09,1,1.47128871817941e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q15.2",1,1,0.278156447530873,1,0.752798217754254,1,1,1,1,1,1,1,0.745684778739262,1,1,1,1,1,1,1,1,1.02543373655002e-41,1.6927773592198e-87,0,3.04022785587786e-60,5.65519927986462e-14,3.88072260612735e-15,1,4.62312005571423e-85,1.45441517271194e-107,4.30267682219101e-16,6.51200829151883e-16,6.16484429233169e-16,3.92986708445457e-16,5.83113232008077e-16,1,1.04427171544788e-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q15.3",1,1,0.00404114243727413,1,0.394584967450945,0.0108979432016834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.56408599974168e-32,3.85209229589091e-46,3.04022785587786e-60,0,1.64022677086614e-21,4.46311590104079e-22,1,4.62462877509531e-52,5.09805524758834e-144,1.46386226632999e-23,2.48333536831435e-23,3.14406796366831e-23,1.47571388520619e-23,2.13666470714838e-23,1,4.68072019490795e-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.476048781071915,1,0.227438365562298
"Q15.4",1,1,1,1,1,0.499496350672586,1,1,1,1,1,1,0.00702499815807285,1,1,1,1,1,1,1,1,1.01289491939736e-10,1.00292554436212e-07,5.65519927986462e-14,1.64022677086614e-21,0,2.23843749983032e-76,1.08660085531696e-06,3.40287419219472e-07,3.82344642824575e-43,5.5623661050696e-85,2.88940498237916e-92,6.44635292010546e-85,1.63352530138975e-85,1.25862349428469e-84,1,7.90381718432435e-87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.529006030823394
"Q15.5",1,1,1,1,1,1,1,1,1,1,1,1,0.000478094580051913,1,1,1,1,1,1,1,1,1.15933718031439e-15,2.94911698081209e-08,3.88072260612735e-15,4.46311590104079e-22,2.23843749983032e-76,0,0.354443818559549,1.88529104109518e-08,1.59635473483085e-53,2.65078526873334e-296,1.53886847302697e-283,2.51328801720094e-306,3.33126278004557e-312,3.76020655544011e-309,0.0487268781187599,4.11396755571644e-286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.249886873973023
"Q15.6",0.0149025643494879,0.0888761347632366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.08660085531696e-06,0.354443818559549,0,1,0.000931113462075615,1.56254478117114e-06,3.06499575072116e-10,1.8022358827473e-07,1.10137955337271e-07,1.47843879991294e-06,1,6.51364887847365e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q15.7",1,1,0.512193810622665,1,0.000290071321215363,0.0346669437105538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.39930095016433e-26,1.02282736803332e-213,4.62312005571423e-85,4.62462877509531e-52,3.40287419219472e-07,1.88529104109518e-08,1,0,1.53536003075308e-129,7.021092278456e-09,6.61480230916575e-09,6.21018310611795e-09,5.48404582655571e-09,6.65833449024489e-09,1,6.33308746047378e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q15",1,1,0.0520666149012711,1,0.00621173513177378,0.000213451106137628,1,1,1,1,1,1,0.00103624494479548,1,1,1,1,1,1,1,1,1.58873122616402e-44,1.63518754904844e-102,1.45441517271194e-107,5.09805524758834e-144,3.82344642824575e-43,1.59635473483085e-53,0.000931113462075615,1.53536003075308e-129,0,3.21393563524895e-57,6.75336872088535e-58,1.05028886868827e-57,4.33188652251205e-58,2.25594820509172e-57,1,7.5398530607904e-58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.559894158183222,0.106645201667795,1,1,1,0.100809844104802
